year,movie,oscars,nominations
2016,La La Land,6,14
2015,Mad Max: Fury Road,6,10
2013,Gravity,7,10
2011,The Artist,5,10
2009,The Hurt Locker,6,9
2008,Slumdog Millionaire,8,10
2004,El aviador,5,11
2003,El Señor de los Anillos: el retorno del Rey,11,11
2002,Chicago,6,13
2000,Gladiator,5,12
1999,American Beauty,5,8
1998,Saving Private Ryan,5,11
1998,Shakespeare in Love,7,13
1997,Titanic,11,14
1996,El paciente inglés,9,12
1995,Braveheart,5,10
1994,Forrest Gump,6,13
1993,La lista de Schindler,7,12
1991,The Silence of the Lambs,5,7
1990,Dances with Wolves,7,12
1987,El último emperador,9,9
1985,Out of Africa,7,11
1984,Amadeus,8,11
1983,La fuerza del cariño,5,11
1982,Gandhi,8,11
1981,Indiana Jones: Raiders of the Lost ArkNota 5,5,8
1979,Kramer vs. Kramer,5,9
1978,The Deer Hunter,5,9
1977,El padrino: Parte II,6,10
1977,Star Wars: Episode IV - A New HopeNota 3,7,10
1975,One Flew Over the Cuckoo's Nest^,5,9
1973,El Golpe,7,10
1972,Cabaret,8,10
1971,The French Connection,5,8
1970,Patton,7,10
1968,OliverNota 4,6,11
1967,En el calor de la noche,5,7
1966,Who's Afraid of Virginia Woolf?,5,13
1966,A Man for All Seasons,6,8
1965,Doctor Zhivago,5,10
1965,The Sound of Music,5,10
1964,Mary Poppins,5,13
1964,My Fair Lady,8,12
1962,Lawrence de Arabia,7,10
1961,West Side Story,10,11
1960,The Apartment,5,10
1959,Ben-Hur,11,12
1958,Gigi,9,9
1957,El puente sobre el río Kwai,7,8
1956,La vuelta al mundo en ochenta días,5,8
1956,El rey y yo,5,9
1954,On the Waterfront,8,12
1953,From Here to Eternity,8,13
1952,Cautivos del mal,5,6
1951,An american in Paris,6,8
1951,Un lugar en el sol,6,9
1950,All About Eve,6,14
1946,The Best Years of Our LivesNota 2,8,8
1944,Wilson,5,10
1944,Going My Way,7,10
1942,La señora Miniver,6,12
1941,¡Qué verde era mi valle!,5,10
1939,Lo que el viento se llevó,10,13
1934,It Happened One Night,5,5
